href,model_id,full_name,year
/showmodel?model=267010,267010, Impact of Small Time Delays on the Onset of Oscillations and Synchrony (Al-Darabsah et al 2021),2021
/showmodel?model=236429,236429,2 Distinct Classes of L2 and L3 Pyramidal Neurons in Human Temporal Cortex (Deitcher et al 2017),2017
/showmodel?model=232097,232097,2D model of olfactory bulb gamma oscillations (Li and Cleland 2017),2017
/showmodel?model=151681,151681,3D model of the olfactory bulb (Migliore et al. 2014),2014
/showmodel?model=168591,168591,"3D olfactory bulb: operators (Migliore et al, 2015)",2015
/showmodel?model=182785,182785,"3D-printer visualization of NEURON models (McDougal and Shepherd, 2015)",2015
/showmodel?model=226812,226812,5-neuron-model of neocortex for producing realistic extracellular AP shapes (Van Dijck et al. 2012),2012
/showmodel?model=150288,150288,A 1000 cell network model for Lateral Amygdala (Kim et al. 2013),2013
/showmodel?model=267391,267391,"A 3D population model of midget retinal ganglion cells at the human fovea (Italiano et al, 2022)",2022
/showmodel?model=145882,145882,A CORF computational model of a simple cell that relies on LGN input (Azzopardi & Petkov 2012),2012
/showmodel?model=245818,245818,A Computational Model for the Binocular Vector Disparity Estimation (Chessa & Solari 2018),2018
/showmodel?model=249405,249405,A Computational Model of Bidirectional Plasticity Regulation by betaCaMKII (Pinto et al. 2019),2019
/showmodel?model=125857,125857,A Fast Rhythmic Bursting Cell: in vivo cell modeling (Lee 2007),2007
/showmodel?model=183424,183424,"A Layer V CCS type pyramidal cell, inhibitory synapse current conduction (Kubota Y et al., 2015)",2015
/showmodel?model=261714,261714,A Markov model of human Cav2.3 channels and their modulation by Zn2+ (Neumaier et al 2020),2020
/showmodel?model=150207,150207,A Method for Prediction of Receptor Activation in the Simulation of Synapses (Montes et al. 2013),2013
/showmodel?model=150240,150240,A Model Circuit of Thalamocortical Convergence (Behuret et al. 2013),2013
/showmodel?model=116575,116575,A Model of Multiple Spike Initiation Zones in the Leech C-interneuron (Crisp 2009),2009
/showmodel?model=116313,116313,A Model of Selection between Stimulus and Place Strategy in a Hawkmoth (Balkenius et al. 2004),2004
/showmodel?model=144403,144403,A Moth MGC Model-A HH network with quantitative rate reduction (Buckley & Nowotny 2011),2011
/showmodel?model=261623,261623,A NN with synaptic depression for testing the effects of connectivity on dynamics (Jacob et al 2019),2019
/showmodel?model=138970,138970,A Neural mass computational model of the Thalamocorticothalamic circuitry (Bhattacharya et al. 2011),2011
/showmodel?model=239530,239530,A basal ganglia model of aberrant learning (Ursino et al. 2018),2018
/showmodel?model=244202,244202,"A biophysical model of vestibular ganglion neurons (Hight & Kalluri 2016, Ventura & Kalluri 2018) ",2016
/showmodel?model=168856,168856,A bistable model of Spike-Wave seizure and background activity (Taylor et al. 2014),2014
/showmodel?model=84641,84641,"A cardiac cell simulator (Puglisi and Bers 2001), applied to the QT interval (Busjahn et al 2004)",2001
/showmodel?model=266842,266842,"A cerebellar model of phase-locked tACS for essential tremor (Schreglmann et al., 2021)",2021
/showmodel?model=114310,114310,A comparative computer simulation of dendritic morphology (Donohue and Ascoli 2008),2008
/showmodel?model=225428,225428,A comparison of mathematical models of mood in bipolar disorder (Cochran et al. 2017),2017
/showmodel?model=235002,235002,A computational approach/model to explore NMDA receptors functions (Keller et al 2017),2017
/showmodel?model=267738,267738,"A computational model for fast skeletal muscle (Kim and Heckman, accepted)",None
/showmodel?model=264591,264591,"A computational model of a small DRG neuron to explore pain (Verma et al. 2019, 2020)",2019
