# ion_class=Ca, nodes=325, copies_total=945
node_id,name,ion_class,copies,unique_ids
29,184171_Ca_LVA-ID-1,Ca,50,184171_Ca_LVA-ID-1;184168_Ca_LVA-ID-1;184152_Ca_LVA-ID-1;184297_Ca_LVA-ID-1;184331_Ca_LVA-ID-1;184186_Ca_LVA-ID-1;184321_Ca_LVA-ID-1;184344_Ca_LVA-ID-1;184159_Ca_LVA-ID-1;184231_Ca_LVA-ID-1;184348_Ca_LVA-ID-1;184299_Ca_LVA-ID-1;184352_Ca_LVA-ID-1;184178_Ca_LVA-ID-1;184180_Ca_LVA-ID-1;184176_Ca_LVA-ID-1;184333_Ca_LVA-ID-1;184182_Ca_LVA-ID-1;184166_Ca_LVA-ID-1;184346_Ca_LVA-ID-1;184327_Ca_LVA-ID-1;184196_Ca_LVA-ID-1;184339_Ca_LVA-ID-1;184202_Ca_LVA-ID-1;184335_Ca_LVA-ID-1;184314_Ca_LVA-ID-1;184173_Ca_LVA-ID-1;184316_Ca_LVA-ID-1;184329_Ca_LVA-ID-1;184310_Ca_LVA-ID-1;184184_Ca_LVA-ID-1;184142_Ca_LVA-ID-1;184303_Ca_LVA-ID-1;184308_Ca_LVA-ID-1;184163_Ca_LVA-ID-1;184319_Ca_LVA-ID-1;184305_Ca_LVA-ID-1;184314_Ca_LVA-ID-2;184350_Ca_LVA-ID-1;184148_Ca_LVA-ID-1;184157_Ca_LVA-ID-1;184274_Ca_LVA-ID-1;184145_Ca_LVA-ID-1;184161_Ca_LVA-ID-1;184325_Ca_LVA-ID-1;184341_Ca_LVA-ID-1;184323_Ca_LVA-ID-1;184301_Ca_LVA-ID-1;184312_Ca_LVA-ID-1;184337_Ca_LVA-ID-1
30,184202_Ca_HVA-ID-1,Ca,50,184202_Ca_HVA-ID-1;184323_Ca_HVA-ID-1;184329_Ca_HVA-ID-1;184312_Ca_HVA-ID-1;184346_Ca_HVA-ID-1;184163_Ca_HVA-ID-1;184196_Ca_HVA-ID-1;184319_Ca_HVA-ID-1;184344_Ca_HVA-ID-1;184352_Ca_HVA-ID-1;184305_Ca_HVA-ID-1;184341_Ca_HVA-ID-1;184331_Ca_HVA-ID-1;184148_Ca_HVA-ID-1;184314_Ca_HVA-ID-1;184159_Ca_HVA-ID-1;184142_Ca_HVA-ID-1;184325_Ca_HVA-ID-1;184301_Ca_HVA-ID-1;184176_Ca_HVA-ID-1;184166_Ca_HVA-ID-1;184310_Ca_HVA-ID-1;184337_Ca_HVA-ID-1;184348_Ca_HVA-ID-1;184297_Ca_HVA-ID-1;184333_Ca_HVA-ID-1;184299_Ca_HVA-ID-1;184171_Ca_HVA-ID-1;184145_Ca_HVA-ID-1;184184_Ca_HVA-ID-1;184173_Ca_HVA-ID-1;184161_Ca_HVA-ID-1;184314_Ca_HVA-ID-2;184303_Ca_HVA-ID-1;184152_Ca_HVA-ID-1;184335_Ca_HVA-ID-1;184327_Ca_HVA-ID-1;184339_Ca_HVA-ID-1;184168_Ca_HVA-ID-1;184350_Ca_HVA-ID-1;184178_Ca_HVA-ID-1;184186_Ca_HVA-ID-1;184182_Ca_HVA-ID-1;184180_Ca_HVA-ID-1;184157_Ca_HVA-ID-1;184274_Ca_HVA-ID-1;184321_Ca_HVA-ID-1;184308_Ca_HVA-ID-1;184316_Ca_HVA-ID-1;184231_Ca_HVA-ID-1
48,3533_cat_thal-ID-1,Ca,1,3533_cat_thal-ID-1
49,19920_ca_a1g-ID-1,Ca,1,19920_ca_a1g-ID-1
50,19920_ca_a1i-ID-1,Ca,1,19920_ca_a1i-ID-1
51,19920_ca_a1h-ID-1,Ca,2,19920_ca_a1h-ID-1;143604_ca_a1h-ID-1
104,20212_calH-ID-1,Ca,8,20212_calH-ID-1;123815_calH-ID-1;144490_calH-ID-2;157157_calH-ID-1;181967_calH-ID-1;206244_calH-ID-1;246546_calH-ID-1;256311_calH-ID-1
108,20212_cat-ID-1,Ca,7,20212_cat-ID-1;123815_cat-ID-1;144490_cat-ID-2;157157_cat-ID-1;181967_cat-ID-1;246546_cat-ID-1;256311_cat-ID-1
112,20212_somacar-ID-1,Ca,8,20212_somacar-ID-1;123815_somacar-ID-1;144490_somacar-ID-2;206244_somacar-ID-1;157157_somacar-ID-1;181967_somacar-ID-1;246546_somacar-ID-1;256311_somacar-ID-1
116,20212_car-ID-1,Ca,8,20212_car-ID-1;123815_car-ID-1;144490_car-ID-2;157157_car-ID-1;206244_car-ID-1;181967_car-ID-1;246546_car-ID-1;256311_car-ID-1
125,51781_nca-ID-1,Ca,14,51781_nca-ID-1;64229_nca-ID-1;97917_nca-ID-1;123815_nca-ID-1;155602_nca-ID-1;155601_nca-ID-1;149174_nca-ID-1;155568_nca-ID-1;151126_nca-ID-1;157157_nca-ID-1;181967_nca-ID-1;256388_nca-ID-1;246546_nca-ID-1;256311_nca-ID-1
146,20212_cal-ID-1,Ca,8,20212_cal-ID-1;123815_cal-ID-1;144490_cal-ID-2;206244_cal-ID-1;157157_cal-ID-1;181967_cal-ID-1;246546_cal-ID-1;256311_cal-ID-1
147,51781_LcaMig-ID-1,Ca,15,51781_LcaMig-ID-1;64229_LcaMig-ID-1;124513_LcaMig-ID-1;97917_LcaMig-ID-1;123815_LcaMig-ID-1;155601_LcaMig-ID-1;155602_LcaMig-ID-1;149174_LcaMig-ID-1;151126_LcaMig-ID-1;155568_LcaMig-ID-1;157157_LcaMig-ID-1;181967_LcaMig-ID-1;256388_LcaMig-ID-1;246546_LcaMig-ID-1;256311_LcaMig-ID-1
204,95870_Ca-ID-1,Ca,3,95870_Ca-ID-1;64228_Ca-ID-1;267646_Rod_Ca-ID-1
251,229585_Cav3_1-ID-1,Ca,5,229585_Cav3_1-ID-1;239421_Cav3_1-ID-1;266806_Cav3_1-ID-1;266806_Cav3_1-ID-2;267189_Cav3_1-ID-1
260,116835_GRC_CA-ID-1,Ca,11,116835_GRC_CA-ID-1;139656_GRC_CA-ID-1;139883_GRC_CA-ID-1;206267_GRC_CA-ID-1;265584_GRC_CA-ID-1;265584_GRC_CA-ID-2;266806_GRC_CA-ID-2;266806_GRC_CA-ID-1;265584_GRC_CA-ID-3;265584_GRC_CA-ID-4;267189_GRC_CA-ID-1
264,144089_cat-ID-1,Ca,6,144089_cat-ID-1;155057_cat-ID-1;168310_cat-ID-1;230811_cat-ID-1;237595_cat-ID-1;237595_cat-ID-2
267,144089_car-ID-1,Ca,2,144089_car-ID-1;230811_car-ID-1
282,144450_can-ID-1,Ca,3,144450_can-ID-1;144089_can-ID-1;230811_can-ID-1
284,230811_cal-ID-1,Ca,1,230811_cal-ID-1
311,279_ITGHK-ID-1,Ca,2,279_ITGHK-ID-1;223891_ITGHK-ID-1
315,80769_CaP-ID-1,Ca,1,80769_CaP-ID-1
324,151460_CaT-ID-1,Ca,1,151460_CaT-ID-1
328,151460_HVA-ID-1,Ca,1,151460_HVA-ID-1
356,108458_CaH-ID-1,Ca,15,108458_CaH-ID-1;64195_ca-ID-1;135787_ca-ID-1;113732_ca-ID-1;144372_ca-ID-1;136803_ca-ID-1;117207_ca-ID-1;141273_ca-ID-1;140828_ca-ID-1;147514_ca-ID-1;151685_ca-ID-1;225075_ca-ID-1;266851_ca-ID-2;266851_ca-ID-1;249705_ca-ID-1
359,135787_caL3d-ID-1,Ca,2,135787_caL3d-ID-1;135839_caL3d-ID-1
367,151458_cat-ID-1,Ca,1,151458_cat-ID-1
371,151458_caq-ID-1,Ca,1,151458_caq-ID-1
372,112834_car-ID-1,Ca,3,112834_car-ID-1;151458_car-ID-1;150284_car-ID-1
380,151458_caL13-ID-1,Ca,1,151458_caL13-ID-1
383,151458_can-ID-1,Ca,1,151458_can-ID-1
387,151458_caL-ID-1,Ca,1,151458_caL-ID-1
442,97917_cat-ID-1,Ca,3,97917_cat-ID-1;144579_cat-ID-1;244262_cat-ID-1
447,97917_cat_a-ID-1,Ca,3,97917_cat_a-ID-1;144579_cat_a-ID-1;244262_cat_a-ID-1
473,97917_cal-ID-1,Ca,4,97917_cal-ID-1;144401_cal-ID-1;144579_cal-ID-1;244262_cal-ID-1
479,51781_tca-ID-1,Ca,8,51781_tca-ID-1;64229_tca-ID-1;124513_tca-ID-1;97917_tca-ID-1;155601_tca-ID-1;155602_tca-ID-1;149174_tca-ID-1;155568_tca-ID-1
495,168310_car-ID-1,Ca,4,168310_car-ID-1;155057_car-ID-1;237595_car-ID-1;237595_car-ID-2
505,155057_can-ID-1,Ca,4,155057_can-ID-1;168310_can-ID-1;237595_can-ID-2;237595_can-ID-1
507,144450_cal-ID-1,Ca,5,144450_cal-ID-1;155057_cal-ID-1;168310_cal-ID-1;237595_cal-ID-1;237595_cal-ID-2
518,113446_it-ID-1,Ca,1,113446_it-ID-1
536,113446_cal2-ID-1,Ca,1,113446_cal2-ID-1
597,20007_CAlM95-ID-1,Ca,1,20007_CAlM95-ID-1
598,20007_CAtM95-ID-1,Ca,1,20007_CAtM95-ID-1
601,20007_CAnM95-ID-1,Ca,1,20007_CAnM95-ID-1
608,101629_cat-ID-1,Ca,15,101629_cat-ID-1;87284_cat-ID-1;126814_cat-ID-1;137259_cat-ID-1;223649_cat-ID-2;223649_cat-ID-3;244688_cat-ID-1;228599_cat-ID-1;257027_cat-ID-1;267298_cat-ID-1;267066_cat-ID-1;267686_cat-ID-1;267742_cat-ID-1;267307_cat-ID-1;266901_cat-ID-1
610,101629_can2-ID-1,Ca,18,101629_can2-ID-1;126814_can2-ID-1;87284_can2-ID-1;137259_can2-ID-1;168874_can_mig-ID-1;181967_can2-ID-1;223649_can2-ID-1;223649_can2-ID-2;244688_can2-ID-1;244412_can2-ID-1;228599_can2-ID-1;257027_can2-ID-1;267066_can2-ID-1;267298_can2-ID-1;267686_can2-ID-1;267742_can2-ID-1;267307_can2-ID-1;266901_can2-ID-1
616,101629_cal2-ID-1,Ca,16,101629_cal2-ID-1;137259_cal2-ID-1;126814_cal2-ID-1;87284_cal2-ID-1;148094_cal2-ID-1;223649_cal2-ID-2;244688_cal2-ID-1;228599_cal2-ID-1;244412_cal2-ID-1;257027_cal2-ID-1;267066_cal2-ID-1;267298_cal2-ID-1;267686_cal2-ID-1;267742_cal2-ID-1;267307_cal2-ID-1;266901_cal2-ID-1
639,169457_Ca_LVAst-ID-1,Ca,9,169457_Ca_LVAst-ID-1;187615_Ca_LVAst-ID-1;237469_Ca_LVAst-ID-1;237469_Ca_LVAst-ID-2;187474_Ca_LVAst-ID-2;187474_Ca_LVAst-ID-3;187474_Ca_LVAst-ID-1;249463_Ca_LVAst-ID-1;267293_Ca_LVAst-ID-1
644,169457_Ca_HVA-ID-1,Ca,9,169457_Ca_HVA-ID-1;187615_Ca_HVA-ID-1;187474_Ca_HVA-ID-3;187474_Ca_HVA-ID-2;237469_Ca_HVA-ID-2;187474_Ca_HVA-ID-1;237469_Ca_HVA-ID-1;249463_Ca_HVA-ID-1;267293_Ca_HVA-ID-1
662,3808_il-ID-1,Ca,7,3808_il-ID-1;121600_il-ID-1;121600_il-ID-2;144372_il-ID-1;232876_il-ID-2;232876_il-ID-3;232876_il-ID-1
672,114637_ical-ID-1,Ca,1,114637_ical-ID-1
676,144523_CaHVA-ID-1,Ca,4,144523_CaHVA-ID-1;150024_CaHVA-ID-1;185513_CaHVA-ID-1;267189_CaHVA-ID-1
679,144523_CaLVA-ID-1,Ca,4,144523_CaLVA-ID-1;150024_CaLVA-ID-1;185513_CaLVA-ID-1;267189_CaLVA-ID-1
700,17664_CaT-ID-1,Ca,2,17664_CaT-ID-1;149000_CaT-ID-1
702,17664_CaP-ID-1,Ca,2,17664_CaP-ID-1;149000_CaP-ID-1
705,17664_CaE-ID-1,Ca,2,17664_CaE-ID-1;149000_CaE-ID-1
706,17664_CaP2-ID-1,Ca,2,17664_CaP2-ID-1;149000_CaP2-ID-1
724,112834_caq-ID-1,Ca,3,112834_caq-ID-1;150284_caq-ID-1;236310_caq-ID-1
743,7907_ca-ID-1,Ca,2,7907_ca-ID-1;7907_ca-ID-2
762,119266_cat-ID-1,Ca,1,119266_cat-ID-1
766,119266_car-ID-1,Ca,1,119266_car-ID-1
774,119266_can-ID-1,Ca,1,119266_can-ID-1
776,119266_cal-ID-1,Ca,1,119266_cal-ID-1
