# ion_class=Ih, nodes=128, copies_total=380
node_id,name,ion_class,copies,unique_ids
129,123815_hNa-ID-1,Ih,5,123815_hNa-ID-1;157157_hNa-ID-1;181967_hNa-ID-1;246546_hNa-ID-1;256311_hNa-ID-1
136,20212_h-ID-1,Ih,5,20212_h-ID-1;113732_h-ID-1;144490_h-ID-2;206244_h-ID-1;157157_h-ID-1
145,28316_Ih-ID-1,Ih,8,28316_Ih-ID-1;123815_Ih-ID-1;151126_Ih-ID-1;157157_Ih-ID-1;181967_Ih-ID-1;256388_Ih-ID-1;246546_Ih-ID-1;256311_Ih-ID-1
203,95870_hyper-ID-1,Ih,2,95870_hyper-ID-1;267646_Rod_hyper-ID-1
274,144089_h-ID-1,Ih,6,144089_h-ID-1;155057_h-ID-1;168310_h-ID-1;230811_h-ID-1;237595_h-ID-1;237595_h-ID-2
288,44050_h-ID-1,Ih,27,44050_h-ID-1;32992_h-ID-1;55035_h-ID-1;97874_h-ID-1;71312_h-ID-1;87535_h-ID-1;106551_h-ID-1;119283_h-ID-1;140828_h-ID-1;138205_h-ID-1;144976_h-ID-1;146376_h-ID-1;146509_h-ID-1;148644_h-ID-1;150288_h-ID-1;154732_h-ID-1;151731_h-ID-1;206378_h-ID-1;148646_h-ID-1;170030_h-ID-1;157339_h-ID-1;190559_h-ID-1;223962_h-ID-1;244922_h-ID-1;225075_h-ID-1;244848_h-ID-1;244412_h-ID-1
322,80769_Ih-ID-1,Ih,1,80769_Ih-ID-1
339,151460_Ih-ID-1,Ih,1,151460_Ih-ID-1
461,97917_ar-ID-1,Ih,3,97917_ar-ID-1;144579_ar-ID-1;244262_ar-ID-1
481,51781_hyperde3-ID-1,Ih,7,51781_hyperde3-ID-1;124513_hyperde3-ID-1;97917_hyperde3-ID-1;155602_hyperde3-ID-1;155601_hyperde3-ID-1;155568_hyperde3-ID-1;181967_hyperde3-ID-1
488,144541_h-ID-1,Ih,2,144541_h-ID-1;222359_h-ID-1
492,118098_hca3-ID-1,Ih,1,118098_hca3-ID-1
604,20007_KhdM01-ID-1,Ih,2,20007_KhdM01-ID-1;184139_KhdM01-ID-1
637,19176_hcn2-ID-1,Ih,1,19176_hcn2-ID-1
