# ion_class=K, nodes=619, copies_total=2048
node_id,name,ion_class,copies,unique_ids
22,43039_kdrmt-ID-1,K,5,43039_kdrmt-ID-1;50210_kdrmt-ID-1;114665_kdrmt-ID-1;97263_kdrmt-ID-1;149415_kdrmt-ID-1
23,50210_kamt-ID-1,K,8,50210_kamt-ID-1;43039_kamt-ID-1;114665_kamt-ID-1;87546_kamt-ID-1;97263_kamt-ID-1;149415_kamt-ID-1;170030_kamt-ID-1;244687_kamt-ID-1
27,184337_K_T-ID-1,K,50,184337_K_T-ID-1;184341_K_T-ID-1;184308_K_T-ID-1;184346_K_T-ID-1;184352_K_T-ID-1;184186_K_T-ID-1;184152_K_T-ID-1;184178_K_T-ID-1;184316_K_T-ID-1;184314_K_T-ID-1;184180_K_T-ID-1;184274_K_T-ID-1;184323_K_T-ID-1;184319_K_T-ID-1;184182_K_T-ID-1;184314_K_T-ID-2;184297_K_T-ID-1;184166_K_T-ID-1;184176_K_T-ID-1;184335_K_T-ID-1;184305_K_T-ID-1;184173_K_T-ID-1;184142_K_T-ID-1;184321_K_T-ID-1;184171_K_T-ID-1;184163_K_T-ID-1;184159_K_T-ID-1;184196_K_T-ID-1;184299_K_T-ID-1;184350_K_T-ID-1;184348_K_T-ID-1;184329_K_T-ID-1;184303_K_T-ID-1;184310_K_T-ID-1;184157_K_T-ID-1;184325_K_T-ID-1;184148_K_T-ID-1;184184_K_T-ID-1;184301_K_T-ID-1;184344_K_T-ID-1;184168_K_T-ID-1;184231_K_T-ID-1;184331_K_T-ID-1;184327_K_T-ID-1;184312_K_T-ID-1;184161_K_T-ID-1;184339_K_T-ID-1;184333_K_T-ID-1;184145_K_T-ID-1;184202_K_T-ID-1
32,184327_K_P-ID-1,K,50,184327_K_P-ID-1;184303_K_P-ID-1;184152_K_P-ID-1;184308_K_P-ID-1;184319_K_P-ID-1;184171_K_P-ID-1;184339_K_P-ID-1;184202_K_P-ID-1;184341_K_P-ID-1;184337_K_P-ID-1;184310_K_P-ID-1;184325_K_P-ID-1;184168_K_P-ID-1;184161_K_P-ID-1;184196_K_P-ID-1;184186_K_P-ID-1;184180_K_P-ID-1;184352_K_P-ID-1;184329_K_P-ID-1;184333_K_P-ID-1;184159_K_P-ID-1;184301_K_P-ID-1;184148_K_P-ID-1;184348_K_P-ID-1;184344_K_P-ID-1;184314_K_P-ID-2;184184_K_P-ID-1;184331_K_P-ID-1;184173_K_P-ID-1;184142_K_P-ID-1;184145_K_P-ID-1;184350_K_P-ID-1;184182_K_P-ID-1;184299_K_P-ID-1;184163_K_P-ID-1;184314_K_P-ID-1;184346_K_P-ID-1;184297_K_P-ID-1;184176_K_P-ID-1;184157_K_P-ID-1;184335_K_P-ID-1;184321_K_P-ID-1;184305_K_P-ID-1;184274_K_P-ID-1;184323_K_P-ID-1;184231_K_P-ID-1;184316_K_P-ID-1;184312_K_P-ID-1;184178_K_P-ID-1;184166_K_P-ID-1
34,184319_Im_v2-ID-1,K,50,184319_Im_v2-ID-1;184352_Im_v2-ID-1;184316_Im_v2-ID-1;184299_Im_v2-ID-1;184142_Im_v2-ID-1;184152_Im_v2-ID-1;184323_Im_v2-ID-1;184325_Im_v2-ID-1;184341_Im_v2-ID-1;184339_Im_v2-ID-1;184157_Im_v2-ID-1;184161_Im_v2-ID-1;184303_Im_v2-ID-1;184312_Im_v2-ID-1;184305_Im_v2-ID-1;184159_Im_v2-ID-1;184168_Im_v2-ID-1;184163_Im_v2-ID-1;184329_Im_v2-ID-1;184308_Im_v2-ID-1;184173_Im_v2-ID-1;184274_Im_v2-ID-1;184148_Im_v2-ID-1;184337_Im_v2-ID-1;184301_Im_v2-ID-1;184166_Im_v2-ID-1;184182_Im_v2-ID-1;184178_Im_v2-ID-1;184344_Im_v2-ID-1;184348_Im_v2-ID-1;184186_Im_v2-ID-1;184171_Im_v2-ID-1;184327_Im_v2-ID-1;184184_Im_v2-ID-1;184145_Im_v2-ID-1;184314_Im_v2-ID-2;184196_Im_v2-ID-1;184176_Im_v2-ID-1;184310_Im_v2-ID-1;184346_Im_v2-ID-1;184180_Im_v2-ID-1;184335_Im_v2-ID-1;184231_Im_v2-ID-1;184321_Im_v2-ID-1;184297_Im_v2-ID-1;184333_Im_v2-ID-1;184202_Im_v2-ID-1;184314_Im_v2-ID-1;184331_Im_v2-ID-1;184350_Im_v2-ID-1
39,184331_Kv2like-ID-1,K,50,184331_Kv2like-ID-1;184310_Kv2like-ID-1;184184_Kv2like-ID-1;184352_Kv2like-ID-1;184301_Kv2like-ID-1;184161_Kv2like-ID-1;184152_Kv2like-ID-1;184350_Kv2like-ID-1;184325_Kv2like-ID-1;184348_Kv2like-ID-1;184335_Kv2like-ID-1;184202_Kv2like-ID-1;184341_Kv2like-ID-1;184157_Kv2like-ID-1;184163_Kv2like-ID-1;184346_Kv2like-ID-1;184316_Kv2like-ID-1;184337_Kv2like-ID-1;184171_Kv2like-ID-1;184299_Kv2like-ID-1;184166_Kv2like-ID-1;184319_Kv2like-ID-1;184176_Kv2like-ID-1;184159_Kv2like-ID-1;184173_Kv2like-ID-1;184327_Kv2like-ID-1;184180_Kv2like-ID-1;184274_Kv2like-ID-1;184333_Kv2like-ID-1;184314_Kv2like-ID-2;184297_Kv2like-ID-1;184314_Kv2like-ID-1;184308_Kv2like-ID-1;184142_Kv2like-ID-1;184145_Kv2like-ID-1;184148_Kv2like-ID-1;184339_Kv2like-ID-1;184323_Kv2like-ID-1;184186_Kv2like-ID-1;184178_Kv2like-ID-1;184305_Kv2like-ID-1;184303_Kv2like-ID-1;184196_Kv2like-ID-1;184231_Kv2like-ID-1;184329_Kv2like-ID-1;184168_Kv2like-ID-1;184344_Kv2like-ID-1;184312_Kv2like-ID-1;184182_Kv2like-ID-1;184321_Kv2like-ID-1
40,184329_Im-ID-1,K,50,184329_Im-ID-1;184346_Im-ID-1;184321_Im-ID-1;184314_Im-ID-1;184314_Im-ID-2;184157_Im-ID-1;184299_Im-ID-1;184231_Im-ID-1;184196_Im-ID-1;184173_Im-ID-1;184142_Im-ID-1;184333_Im-ID-1;184352_Im-ID-1;184180_Im-ID-1;184303_Im-ID-1;184176_Im-ID-1;184339_Im-ID-1;184316_Im-ID-1;184331_Im-ID-1;184308_Im-ID-1;184186_Im-ID-1;184145_Im-ID-1;184159_Im-ID-1;184301_Im-ID-1;184166_Im-ID-1;184327_Im-ID-1;184341_Im-ID-1;184148_Im-ID-1;184184_Im-ID-1;184350_Im-ID-1;184305_Im-ID-1;184297_Im-ID-1;184312_Im-ID-1;184325_Im-ID-1;184335_Im-ID-1;184310_Im-ID-1;184319_Im-ID-1;184163_Im-ID-1;184348_Im-ID-1;184171_Im-ID-1;184274_Im-ID-1;184152_Im-ID-1;184337_Im-ID-1;184161_Im-ID-1;184202_Im-ID-1;184323_Im-ID-1;184178_Im-ID-1;184182_Im-ID-1;184168_Im-ID-1;184344_Im-ID-1
59,7399_kdr-ID-1,K,2,7399_kdr-ID-1;7400_kdr-ID-1
106,20212_km-ID-1,K,10,20212_km-ID-1;123815_km-ID-1;124043_km-ID-1;144490_km-ID-2;144089_km-ID-1;157157_km-ID-1;206244_km-ID-1;181967_km-ID-1;246546_km-ID-1;256311_km-ID-1
107,51781_bgka-ID-1,K,15,51781_bgka-ID-1;64229_bgka-ID-1;124513_bgka-ID-1;97917_bgka-ID-1;123815_bgka-ID-1;149174_bgka-ID-1;155602_bgka-ID-1;155601_bgka-ID-1;151126_bgka-ID-1;155568_bgka-ID-1;157157_bgka-ID-1;181967_bgka-ID-1;256388_bgka-ID-1;246546_bgka-ID-1;256311_bgka-ID-1
