# ion_class=KCa, nodes=154, copies_total=456
node_id,name,ion_class,copies,unique_ids
105,20212_kca-ID-1,KCa,9,20212_kca-ID-1;123815_kca-ID-1;144490_kca-ID-2;154732_kca-ID-1;157157_kca-ID-1;206244_kca-ID-1;181967_kca-ID-1;246546_kca-ID-1;256311_kca-ID-1
109,123815_gskch-ID-1,KCa,7,123815_gskch-ID-1;151126_gskch-ID-1;157157_gskch-ID-1;181967_gskch-ID-1;256388_gskch-ID-1;246546_gskch-ID-1;256311_gskch-ID-1
126,20212_cagk-ID-1,KCa,8,20212_cagk-ID-1;123815_cagk-ID-1;144490_cagk-ID-2;157157_cagk-ID-1;206244_cagk-ID-1;246546_cagk-ID-1;256311_cagk-ID-1;267311_cagk-ID-1
261,144089_kca-ID-1,KCa,2,144089_kca-ID-1;230811_kca-ID-1
262,144089_kct-ID-1,KCa,2,144089_kct-ID-1;230811_kct-ID-1
321,80769_CaBK-ID-1,KCa,1,80769_CaBK-ID-1
332,151460_sKCa-ID-1,KCa,1,151460_sKCa-ID-1
347,64195_kca-ID-1,KCa,14,64195_kca-ID-1;135787_kca-ID-1;113732_kca-ID-1;135839_kca-ID-1;136803_kca-ID-1;144372_kca-ID-1;140828_kca-ID-1;141273_kca-ID-1;147514_kca-ID-1;146026_kca-ID-1;150538_kca-ID-1;151685_kca-ID-1;143604_kca-ID-1;225075_kca-ID-1
350,135787_iahp2-ID-1,KCa,2,135787_iahp2-ID-1;135839_iahp2-ID-1
351,135787_iahp-ID-1,KCa,2,135787_iahp-ID-1;135839_iahp-ID-1
370,112834_bkkca-ID-1,KCa,3,112834_bkkca-ID-1;151458_bkkca-ID-1;150284_bkkca-ID-1
384,112834_skkca-ID-1,KCa,2,112834_skkca-ID-1;151458_skkca-ID-1
429,3509_cagk-ID-1,KCa,3,3509_cagk-ID-1;18502_cagk-ID-1;267176_cagk-ID-1
443,97917_kahp-ID-1,KCa,4,97917_kahp-ID-1;144401_kahp-ID-1;144579_kahp-ID-1;244262_kahp-ID-1
444,97917_kahp_deeppyr-ID-1,KCa,3,97917_kahp_deeppyr-ID-1;144579_kahp_deeppyr-ID-1;244262_kahp_deeppyr-ID-1
459,97917_kahp_slower-ID-1,KCa,3,97917_kahp_slower-ID-1;144579_kahp_slower-ID-1;244262_kahp_slower-ID-1
463,97917_kc_fast-ID-1,KCa,3,97917_kc_fast-ID-1;144579_kc_fast-ID-1;244262_kc_fast-ID-1
474,97917_kc-ID-1,KCa,4,97917_kc-ID-1;144401_kc-ID-1;144579_kc-ID-1;244262_kc-ID-1
477,64229_gskch-ID-1,KCa,6,64229_gskch-ID-1;97917_gskch-ID-1;155601_gskch-ID-1;155602_gskch-ID-1;149174_gskch-ID-1;267509_gskch-ID-1
483,51781_CaBK-ID-1,KCa,7,51781_CaBK-ID-1;64229_CaBK-ID-1;97917_CaBK-ID-1;149174_CaBK-ID-1;155602_CaBK-ID-1;155601_CaBK-ID-1;155568_CaBK-ID-1
494,155057_kct-ID-1,KCa,4,155057_kct-ID-1;168310_kct-ID-1;237595_kct-ID-1;237595_kct-ID-2
516,113446_sk-ID-1,KCa,1,113446_sk-ID-1
602,20007_KahpM95-ID-1,KCa,1,20007_KahpM95-ID-1
611,101629_cagk-ID-1,KCa,18,101629_cagk-ID-1;87284_cagk-ID-1;126814_cagk-ID-1;137259_cagk-ID-1;148094_cagk-ID-1;168874_cagk-ID-1;223649_cagk-ID-1;185858_cagk-ID-1;244688_cagk-ID-1;228599_cagk-ID-1;258738_cagk-ID-1;257027_cagk-ID-1;267066_cagk-ID-1;267298_cagk-ID-1;267686_cagk-ID-1;267742_cagk-ID-1;267307_cagk-ID-1;266901_cagk-ID-1
656,3808_iahp2-ID-1,KCa,2,3808_iahp2-ID-1;144372_iahp2-ID-1
671,114637_ic-ID-1,KCa,1,114637_ic-ID-1
677,144523_SK-ID-1,KCa,4,144523_SK-ID-1;150024_SK-ID-1;185513_SK-ID-1;267189_SK-ID-1
703,17664_KC3-ID-1,KCa,2,17664_KC3-ID-1;149000_KC3-ID-1
704,17664_KC2-ID-1,KCa,2,17664_KC2-ID-1;149000_KC2-ID-1
708,17664_K23-ID-1,KCa,2,17664_K23-ID-1;149000_K23-ID-1
709,17664_K22-ID-1,KCa,2,17664_K22-ID-1;149000_K22-ID-1
716,17664_K2-ID-1,KCa,2,17664_K2-ID-1;149000_K2-ID-1
719,17664_KC-ID-1,KCa,2,17664_KC-ID-1;149000_KC-ID-1
760,119266_kca-ID-1,KCa,1,119266_kca-ID-1
764,119266_ic-ID-1,KCa,1,119266_ic-ID-1
