# ion_class=Other, nodes=3216, copies_total=6527
node_id,name,ion_class,copies,unique_ids
1,266864_distr-ID-1,Other,1,266864_distr-ID-1
2,243446_narsg-ID-1,Other,2,243446_narsg-ID-1;266864_narsg-ID-1
3,7907_syn2-ID-1,Other,12,7907_syn2-ID-1;7907_syn2-ID-2;243446_syn2-ID-1;266799_syn2-ID-5;266799_syn2-ID-6;266799_syn2-ID-1;266799_syn2-ID-2;266799_syn2-ID-3;266799_syn2-ID-4;267189_syn2-ID-2;266864_syn2-ID-1;267189_syn2-ID-1
4,243446_CaT-ID-1,Other,8,243446_CaT-ID-1;266799_TCa-ID-4;266799_TCa-ID-3;266799_TCa-ID-5;266799_TCa-ID-6;266799_TCa-ID-1;266799_TCa-ID-2;266864_CaT-ID-1
5,243446_CaP-ID-1,Other,8,243446_CaP-ID-1;266799_CaP_Raman-ID-1;266799_CaP_Raman-ID-3;266799_CaP_Raman-ID-5;266799_CaP_Raman-ID-6;266799_CaP_Raman-ID-4;266799_CaP_Raman-ID-2;266864_CaP-ID-1
6,243446_Kv1-ID-1,Other,2,243446_Kv1-ID-1;266864_Kv1-ID-1
7,243446_kv3-ID-1,Other,8,243446_kv3-ID-1;266799_kv3-ID-6;266799_kv3-ID-5;266799_kv3-ID-3;266799_kv3-ID-1;266799_kv3-ID-4;266799_kv3-ID-2;266864_kv3-ID-1
8,243446_BK_Slow-ID-1,Other,8,243446_BK_Slow-ID-1;266799_abBK-ID-3;266799_abBK-ID-4;266799_abBK-ID-5;266799_abBK-ID-6;266799_abBK-ID-2;266799_abBK-ID-1;266864_BK_Slow-ID-1
9,266799_cdp4N-ID-2,Other,7,266799_cdp4N-ID-2;266799_cdp4N-ID-5;266799_cdp4N-ID-3;266799_cdp4N-ID-1;266799_cdp4N-ID-6;266799_cdp4N-ID-4;266864_cdp_smooth-ID-1
10,266799_cdp10AIS-ID-5,Other,7,266799_cdp10AIS-ID-5;266799_cdp10AIS-ID-6;266799_cdp10AIS-ID-3;266799_cdp10AIS-ID-2;266799_cdp10AIS-ID-1;266799_cdp10AIS-ID-4;266864_cdp_AIS-ID-1
11,266799_cdp20N_FD2-ID-4,Other,7,266799_cdp20N_FD2-ID-4;266799_cdp20N_FD2-ID-2;266799_cdp20N_FD2-ID-3;266799_cdp20N_FD2-ID-6;266799_cdp20N_FD2-ID-1;266799_cdp20N_FD2-ID-5;266864_cdp_soma-ID-1
12,243446_kv4f-ID-1,Other,8,243446_kv4f-ID-1;266799_kv4hybrid2-ID-5;266799_kv4hybrid2-ID-6;266799_kv4hybrid2-ID-4;266799_kv4hybrid2-ID-3;266799_kv4hybrid2-ID-1;266799_kv4hybrid2-ID-2;266864_kv4f-ID-1
13,243446_mslo-ID-1,Other,8,243446_mslo-ID-1;266799_mslo-ID-4;266799_mslo-ID-3;266799_mslo-ID-1;266799_mslo-ID-5;266799_mslo-ID-6;266799_mslo-ID-2;266864_mslo-ID-1
14,243446_nap-ID-1,Other,8,243446_nap-ID-1;266799_nap-ID-6;266799_nap-ID-3;266799_nap-ID-2;266799_nap-ID-5;266799_nap-ID-4;266799_nap-ID-1;266864_nap-ID-1
15,243446_kv4s-ID-1,Other,8,243446_kv4s-ID-1;266799_kv4s-ID-4;266799_kv4s-ID-2;266799_kv4s-ID-6;266799_kv4s-ID-3;266799_kv4s-ID-1;266799_kv4s-ID-5;266864_kv4s-ID-1
16,243446_peak-ID-1,Other,8,243446_peak-ID-1;266799_peak-ID-4;266799_peak-ID-1;266799_peak-ID-2;266799_peak-ID-6;266799_peak-ID-5;266799_peak-ID-3;266864_peak-ID-1
17,48332_pkjlk-ID-1,Other,12,48332_pkjlk-ID-1;155735_pkjlk-ID-1;180789_lkpkj-ID-1;243446_pkjlk-ID-1;266799_pkjlk-ID-5;266799_pkjlk-ID-3;266799_pkjlk-ID-1;266799_pkjlk-ID-4;266578_lkpkj-ID-1;266799_pkjlk-ID-2;266799_pkjlk-ID-6;266864_pkjlk-ID-1
18,243446_capmax-ID-1,Other,2,243446_capmax-ID-1;266864_capmax-ID-1
19,266799_cdp_spiny-ID-4,Other,7,266799_cdp_spiny-ID-4;266799_cdp_spiny-ID-6;266799_cdp_spiny-ID-5;266799_cdp_spiny-ID-2;266799_cdp_spiny-ID-1;266799_cdp_spiny-ID-3;266864_cdp_spiny-ID-1
20,243446_ih-ID-1,Other,8,243446_ih-ID-1;266799_ihnew-ID-2;266799_ihnew-ID-3;266799_ihnew-ID-5;266799_ihnew-ID-1;266799_ihnew-ID-6;266799_ihnew-ID-4;266864_ih-ID-1
21,243446_SK2-ID-1,Other,8,243446_SK2-ID-1;266799_SK2-ID-3;266799_SK2-ID-4;266799_SK2-ID-5;266799_SK2-ID-6;266799_SK2-ID-1;266799_SK2-ID-2;266864_SK2-ID-1
25,44050_nmdanet-ID-1,Other,7,44050_nmdanet-ID-1;97874_nmdanet-ID-1;114665_nmdanetOB-ID-1;97263_nmdanetOB-ID-1;149415_nmdanetOB-ID-1;153574_nmdanetOB-ID-1;185330_nmdanet-ID-1
